Feature,Missing Count,Missing Percentage
country,0,0.0
fossil_share_elec,0,0.0
electricity_generation,0,0.0
electricity_demand_per_capita,0,0.0
electricity_demand,0,0.0
solar_electricity,0,0.0
solar_elec_per_capita,0,0.0
greenhouse_gas_emissions,0,0.0
solar_share_elec,0,0.0
renewables_share_elec,0,0.0
renewables_electricity,0,0.0
renewables_elec_per_capita,0,0.0
fossil_electricity,0,0.0
low_carbon_electricity,0,0.0
low_carbon_elec_per_capita,0,0.0
low_carbon_share_elec,0,0.0
year,0,0.0
oil_share_elec,0,0.0
population,0,0.0
carbon_intensity_elec,0,0.0
oil_electricity,0,0.0
fossil_elec_per_capita,0,0.0
per_capita_electricity,0,0.0
net_elec_imports_share_demand,0,0.0
net_elec_imports,0,0.0
oil_elec_per_capita,0,0.0
oil_prod_change_twh,1,0.4807692307692308
gas_prod_change_twh,1,0.4807692307692308
oil_prod_per_capita,1,0.4807692307692308
oil_production,1,0.4807692307692308
wind_share_elec,1,0.4807692307692308
gas_production,1,0.4807692307692308
gas_prod_per_capita,1,0.4807692307692308
wind_electricity,1,0.4807692307692308
biofuel_elec_per_capita,1,0.4807692307692308
coal_prod_change_twh,1,0.4807692307692308
coal_prod_per_capita,1,0.4807692307692308
coal_production,1,0.4807692307692308
wind_elec_per_capita,1,0.4807692307692308
biofuel_electricity,1,0.4807692307692308
iso_code,1,0.4807692307692308
biofuel_share_elec,1,0.4807692307692308
coal_elec_per_capita,2,0.9615384615384616
coal_electricity,2,0.9615384615384616
coal_share_elec,2,0.9615384615384616
energy_cons_change_twh,3,1.4423076923076923
other_renewables_elec_per_capita,3,1.4423076923076923
primary_energy_consumption,3,1.4423076923076923
energy_cons_change_pct,3,1.4423076923076923
energy_per_capita,3,1.4423076923076923
other_renewable_electricity,3,1.4423076923076923
other_renewables_share_elec,3,1.4423076923076923
hydro_elec_per_capita,4,1.9230769230769231
hydro_electricity,4,1.9230769230769231
hydro_share_elec,4,1.9230769230769231
gas_share_elec,5,2.403846153846154
gas_electricity,5,2.403846153846154
nuclear_elec_per_capita,5,2.403846153846154
nuclear_electricity,5,2.403846153846154
nuclear_share_elec,5,2.403846153846154
gas_elec_per_capita,5,2.403846153846154
other_renewables_elec_per_capita_exc_biofuel,24,11.538461538461538
other_renewable_exc_biofuel_electricity,24,11.538461538461538
other_renewables_share_elec_exc_biofuel,24,11.538461538461538
gdp,46,22.115384615384613
energy_per_gdp,47,22.596153846153847
nuclear_cons_change_twh,107,51.442307692307686
nuclear_consumption,107,51.442307692307686
nuclear_energy_per_capita,107,51.442307692307686
oil_prod_change_pct,115,55.28846153846154
gas_prod_change_pct,123,59.13461538461539
wind_consumption,130,62.5
oil_cons_change_twh,130,62.5
oil_cons_change_pct,130,62.5
oil_energy_per_capita,130,62.5
wind_energy_per_capita,130,62.5
other_renewable_consumption,130,62.5
other_renewables_cons_change_twh,130,62.5
oil_consumption,130,62.5
other_renewables_energy_per_capita,130,62.5
wind_cons_change_twh,130,62.5
electricity_share_energy,130,62.5
solar_energy_per_capita,131,62.980769230769226
solar_consumption,131,62.980769230769226
solar_cons_change_twh,131,62.980769230769226
gas_cons_change_pct,133,63.942307692307686
gas_cons_change_twh,133,63.942307692307686
gas_energy_per_capita,133,63.942307692307686
gas_consumption,133,63.942307692307686
coal_consumption,133,63.942307692307686
coal_cons_per_capita,133,63.942307692307686
coal_cons_change_twh,133,63.942307692307686
coal_cons_change_pct,135,64.90384615384616
fossil_fuel_consumption,136,65.38461538461539
fossil_energy_per_capita,136,65.38461538461539
fossil_cons_change_twh,136,65.38461538461539
fossil_cons_change_pct,136,65.38461538461539
renewables_cons_change_pct,139,66.82692307692307
renewables_consumption,139,66.82692307692307
renewables_cons_change_twh,139,66.82692307692307
renewables_energy_per_capita,139,66.82692307692307
low_carbon_cons_change_twh,139,66.82692307692307
hydro_cons_change_twh,139,66.82692307692307
low_carbon_energy_per_capita,139,66.82692307692307
low_carbon_consumption,139,66.82692307692307
low_carbon_cons_change_pct,139,66.82692307692307
hydro_cons_change_pct,139,66.82692307692307
hydro_energy_per_capita,139,66.82692307692307
hydro_consumption,139,66.82692307692307
coal_prod_change_pct,140,67.3076923076923
coal_share_energy,143,68.75
fossil_share_energy,143,68.75
gas_share_energy,143,68.75
oil_share_energy,143,68.75
hydro_share_energy,143,68.75
low_carbon_share_energy,143,68.75
nuclear_share_energy,143,68.75
other_renewables_share_energy,143,68.75
renewables_share_energy,143,68.75
wind_share_energy,143,68.75
solar_share_energy,144,69.23076923076923
other_renewables_cons_change_pct,158,75.96153846153845
wind_cons_change_pct,165,79.32692307692307
biofuel_share_energy,165,79.32692307692307
biofuel_consumption,165,79.32692307692307
biofuel_cons_per_capita,165,79.32692307692307
biofuel_cons_change_twh,166,79.8076923076923
solar_cons_change_pct,179,86.0576923076923
nuclear_cons_change_pct,179,86.0576923076923
biofuel_cons_change_pct,198,95.1923076923077
