country,year,population,electricity_generation,oil_electricity,per_capita_electricity,solar_elec_per_capita,fossil_elec_per_capita,fossil_electricity,oil_elec_per_capita,electricity_demand_per_capita,fossil_share_elec,renewables_share_elec,net_elec_imports_share_demand,renewables_electricity,renewables_elec_per_capita,net_elec_imports,low_carbon_elec_per_capita,low_carbon_electricity,greenhouse_gas_emissions,electricity_demand,solar_electricity,low_carbon_share_elec,oil_share_elec,solar_share_elec,carbon_intensity_elec
Afghanistan,2002,-0.0968410932754894,-0.21723984648632724,-0.31666034181058145,-0.729435030005474,-0.30817339566058977,-0.733350812267262,-0.20283981045314664,-0.4804043317205169,-0.7425304921228436,-1.3373644918845051,1.495451260097663,0.25951803194657497,-0.21410418020214522,-0.2739875925162234,0.007753428671011606,-0.32460597108565004,-0.23227244013413528,-0.18847822980369563,-0.21686667469704227,-0.11338730025418871,1.3373645149828812,-0.5041954591827812,-0.32272752834912005,-1.2528252876329167
Afghanistan,2003,-0.08447580330329942,-0.21682289424287662,-0.31175614760980014,-0.728225428029094,-0.30817339566058977,-0.73178531860925,-0.20245670276104263,-0.47891284262232053,-0.7413783313666267,-1.0496226794364172,1.1982391430204689,0.20384127069757912,-0.21344548316075662,-0.2737046050551906,0.007753428671011606,-0.32433792899728464,-0.23181280726447956,-0.18813356361170158,-0.2164501723501033,-0.11338730025418871,1.0496227052823477,-0.36727927031734775,-0.32272752834912005,-0.959094703912843
Afghanistan,2004,-0.07764681538689656,-0.21707306558894698,-0.3129821961599955,-0.7294858727485215,-0.30817339566058977,-0.7325647677687351,-0.20260405187339034,-0.4794674191524875,-0.7426804831997308,-1.0990120903056957,1.24925408325722,0.23424146548997565,-0.21410418020214522,-0.2746956736957773,0.007753428671011606,-0.3252766564842439,-0.23227244013413528,-0.1882714300884992,-0.2167000737582667,-0.11338730025418871,1.0990121156800225,-0.3510099868279536,-0.32272752834912005,-1.0152614313342967
Afghanistan,2005,-0.07119953356883531,-0.2170105227524294,-0.3129821961599955,-0.729476387162132,-0.30817339566058977,-0.7326675951001594,-0.20260405187339034,-0.479587608946568,-0.7426992082004122,-1.1307944000191592,1.2820824284850993,0.22590703006374557,-0.21382188147012152,-0.2745993844557895,0.007753428671011606,-0.325185452552878,-0.23207545461856854,-0.1882714300884992,-0.21663759840622585,-0.11338730025418871,1.1307944250900068,-0.37101612136881806,-0.32272752834912005,-1.048921089119001
Afghanistan,2006,-0.0634434033702388,-0.21684374185504912,-0.31666034181058145,-0.7291383208632127,-0.30817339566058977,-0.7324286639539634,-0.20251564240598172,-0.4808372988921063,-0.739912240241842,-1.1057266627803712,1.2561896491504343,0.7146100865728255,-0.21335138358341535,-0.2743580488288482,0.0461513611369739,-0.3249568625467829,-0.2317471454259573,-0.18809909699250216,-0.215783768595001,-0.11338730025418871,1.105726688090583,-0.5873467502668571,-0.32272752834912005,-0.9033802175748691
Afghanistan,2007,-0.059982669570165244,-0.2166144181211513,-0.31666034181058145,-0.7284519438320736,-0.30817339566058977,-0.7324832253951274,-0.20251564240598172,-0.4808732611926973,-0.7379507008847406,-1.1996113072484988,1.3531642727062165,0.8358237471570403,-0.21231628823266183,-0.2734270078315108,0.0670956879365897,-0.32407499247250715,-0.23102486520221258,-0.18809909699250216,-0.2151798401919395,-0.11338730025418871,1.1996113316622359,-0.6211817757737067,-0.32272752834912005,-1.0157661646863945
Afghanistan,2008,-0.05604429196048818,-0.2170939132011195,-0.31666034181058145,-0.7302496521645985,-0.30817339566058977,-0.732769523067169,-0.20257458205092083,-0.4809134821867794,-0.738838227702755,-1.0496226794364172,1.1982391430204689,1.0946466790000207,-0.21429237935682768,-0.2755147447626454,0.08338571989184643,-0.3260524700785344,-0.2324037638111798,-0.18820249685010038,-0.21536726624806204,-0.11338730025418871,1.0496227052823477,-0.5395303092613093,-0.32272752834912005,-0.8999318793133362
Afghanistan,2009,-0.04884177693256814,-0.21686458946722167,-0.3203384874611675,-0.7296835523688773,-0.30817339566058977,-0.7342879499874738,-0.2029576897430248,-0.4820188497417878,-0.7356670150873436,-1.5989940780421887,1.7656917320345806,1.262086853013872,-0.21203398950063812,-0.27354265292381164,0.12992866833543706,-0.3241845300185751,-0.23082787968664584,-0.18851269642289503,-0.2143051852633677,-0.11338730025418871,1.5989940986423474,-0.7552254192730439,-0.32272752834912005,-1.436217122717574
Afghanistan,2010,-0.042795024910466384,-0.2168854370793942,-0.31911243891097213,-0.7299267628039022,-0.30817339566058977,-0.7341095760452069,-0.20289875009808575,-0.48170796511694175,-0.7312607167126974,-1.526984018569337,1.6913116409220244,1.5268531937263772,-0.21231628823266183,-0.27400253817433856,0.21370597553390028,-0.32462012742105284,-0.23102486520221258,-0.1884437631844962,-0.21282660193173444,-0.11338730025418871,1.5269840398570969,-0.6958171137813028,-0.32272752834912005,-1.3387793585617798
Afghanistan,2011,-0.03483040572235898,-0.21711476081329206,-0.31911243891097213,-0.7308546428645163,-0.30817339566058977,-0.7337498302792907,-0.20278087080820756,-0.48175055205185213,-0.7270363183446712,-1.308984232224877,1.4661369349223454,1.7545700086506957,-0.21372778189278027,-0.2754951438995436,0.31377331468762015,-0.3260339043927602,-0.2320097927800463,-0.18837482994609742,-0.21126471813071337,-0.11338730025418871,1.308984255594247,-0.666939135587628,-0.32272752834912005,-1.1486846645612623
