Country,Non-NA Percentage
United States,100.0
United Kingdom,99.68531468531468
Germany,99.26573426573427
Romania,98.42657342657344
Colombia,98.42657342657341
Czechia,98.35664335664337
Spain,98.32167832167832
Indonesia,98.32167832167832
Norway,98.25174825174825
Hungary,98.006993006993
Ukraine,98.006993006993
Poland,97.97202797202797
Italy,97.76223776223777
Canada,97.6923076923077
Mexico,97.65734265734267
India,97.65734265734267
China,97.55244755244755
Bulgaria,97.51748251748252
France,97.51748251748252
Greece,97.37762237762237
New Zealand,97.27272727272727
Brazil,97.23776223776224
Slovakia,97.23776223776224
Turkey,97.2027972027972
Netherlands,96.88811188811188
Denmark,96.81818181818181
Slovenia,96.7132867132867
Australia,96.7132867132867
Austria,96.53846153846153
Philippines,96.53846153846153
Israel,96.39860139860139
Thailand,96.25874125874125
Peru,96.25874125874125
Sweden,96.04895104895105
Finland,95.97902097902097
Japan,95.6993006993007
Belgium,95.62937062937063
Lithuania,95.48951048951048
Ireland,95.38461538461539
Switzerland,95.34965034965033
Belarus,95.3146853146853
Argentina,95.17482517482517
Portugal,95.1048951048951
Luxembourg,95.03496503496504
South Korea,94.86013986013985
Russia,94.79020979020979
Taiwan,94.79020979020979
Malaysia,94.72027972027972
Ecuador,94.7202797202797
Estonia,94.6853146853147
Latvia,94.65034965034965
Croatia,94.61538461538461
Pakistan,94.33566433566433
North Macedonia,94.16083916083916
Venezuela,93.91608391608392
Kazakhstan,93.2867132867133
Uzbekistan,93.2867132867133
Bangladesh,93.21678321678321
Azerbaijan,92.62237762237761
Algeria,92.44755244755245
Vietnam,92.16783216783216
Iran,92.13286713286713
Morocco,91.993006993007
Egypt,91.5034965034965
Chile,90.45454545454545
Hong Kong,85.41958041958041
Trinidad and Tobago,83.7062937062937
Iraq,79.23076923076923
Iceland,78.53146853146853
Turkmenistan,77.55244755244755
Oman,74.4055944055944
Kuwait,74.3006993006993
Sri Lanka,72.55244755244755
Qatar,71.43356643356643
United Arab Emirates,70.06993006993008
Saudi Arabia,70.0
Cyprus,69.47552447552448
Singapore,68.006993006993
Nigeria,54.68531468531469
Syria,54.090909090909086
Libya,54.090909090909086
Myanmar,53.986013986013994
Bolivia,53.39160839160839
Gabon,53.39160839160839
Angola,53.39160839160839
Mongolia,53.39160839160839
Tunisia,53.39160839160839
Bahrain,53.39160839160839
Equatorial Guinea,53.39160839160839
Congo,53.18181818181819
Yemen,53.04195804195804
Zimbabwe,52.79720279720279
Democratic Republic of Congo,52.69230769230769
Cuba,52.69230769230769
Chad,52.65734265734265
Brunei,52.552447552447546
Serbia,52.09790209790209
Zambia,51.99300699300699
Madagascar,51.50349650349649
Sudan,51.258741258741246
Papua New Guinea,51.153846153846146
Georgia,50.97902097902097
Tajikistan,50.97902097902097
Kyrgyzstan,50.97902097902097
Mozambique,50.909090909090914
Albania,50.90909090909091
Afghanistan,50.38461538461539
Barbados,50.38461538461539
Cote d'Ivoire,50.38461538461539
Jordan,50.34965034965035
Cameroon,50.17482517482518
Tanzania,50.174825174825166
Niger,49.96503496503497
New Caledonia,49.96503496503495
Ghana,49.86013986013986
Nepal,49.790209790209786
Laos,49.790209790209786
Senegal,49.790209790209786
Guatemala,49.790209790209786
